"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9061","Register new users from Singapore","","Sun Feb 22 20:22:04 UTC 2026","failed","Sun Feb 22 20:22:13 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","423","should POST to search product with one parameter and get status 200","","Sun Feb 22 20:21:32 UTC 2026","passed","Sun Feb 22 20:21:32 UTC 2026","","api/api-products.spec.ts","",""
"","3982","Verify All Products and first product's detail page","","Sun Feb 22 20:22:42 UTC 2026","passed","Sun Feb 22 20:22:46 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","5344","Try logging in with incorrect email","","Sun Feb 22 20:21:32 UTC 2026","passed","Sun Feb 22 20:21:37 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","2370","Add single product to the cart and verify cart modal appeared","","Sun Feb 22 20:22:52 UTC 2026","passed","Sun Feb 22 20:22:54 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","10497","Register new users from India","","Sun Feb 22 20:21:39 UTC 2026","failed","Sun Feb 22 20:21:50 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","8930","Register new users from Israel","","Sun Feb 22 20:21:56 UTC 2026","failed","Sun Feb 22 20:22:05 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","60321","Enter billing info and pay and confirm order","","Sun Feb 22 20:22:30 UTC 2026","broken","Sun Feb 22 20:23:30 UTC 2026","Tests for verifying Payment Page","ui/verifyPaymentPage.spec.ts","",""
"","2338","Try to register with existing user","","Sun Feb 22 20:22:08 UTC 2026","passed","Sun Feb 22 20:22:10 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","9155","Register new users from Australia","","Sun Feb 22 20:21:52 UTC 2026","failed","Sun Feb 22 20:22:02 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","14259","Verify adding a comment works","","Sun Feb 22 20:22:27 UTC 2026","failed","Sun Feb 22 20:22:41 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","9251","Register new users from New Zealand","","Sun Feb 22 20:22:01 UTC 2026","failed","Sun Feb 22 20:22:10 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","13034","Try logging in with correct credentials and then log out","","Sun Feb 22 20:21:32 UTC 2026","failed","Sun Feb 22 20:21:45 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","483","should GET list of all products and get status 200","","Sun Feb 22 20:21:32 UTC 2026","passed","Sun Feb 22 20:21:32 UTC 2026","","api/api-products.spec.ts","",""
"","2250","Search for a product","","Sun Feb 22 20:22:49 UTC 2026","passed","Sun Feb 22 20:22:51 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","14460","Verify Checkout page elements are visible","","Sun Feb 22 20:22:11 UTC 2026","failed","Sun Feb 22 20:22:25 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","6556","Try logging in with incorrect password","","Sun Feb 22 20:21:32 UTC 2026","passed","Sun Feb 22 20:21:39 UTC 2026","Tests for logging in with wrong and correct credentials","ui/login.spec.ts","",""
"","9667","Register new users from Canada","","Sun Feb 22 20:21:48 UTC 2026","failed","Sun Feb 22 20:21:58 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","8922","Register new users from USA","","Sun Feb 22 20:21:45 UTC 2026","failed","Sun Feb 22 20:21:54 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
"","60368","Verify total price is calculated correctly","","Sun Feb 22 20:22:16 UTC 2026","broken","Sun Feb 22 20:23:16 UTC 2026","Tests for verifying Checkout Page","ui/verifyCheckoutPage.spec.ts","",""
"","15123","Add two products to the Cart and verify everything is visible in Cart page","","Sun Feb 22 20:22:12 UTC 2026","failed","Sun Feb 22 20:22:27 UTC 2026","Tests for verifying Cart Page","ui/verifyCartPage.spec.ts","",""
"","2019","Verify First Product details are visible","","Sun Feb 22 20:22:47 UTC 2026","passed","Sun Feb 22 20:22:49 UTC 2026","Tests for verifying Products page and Product details","ui/verifyProductsPage.spec.ts","",""
"","6254","Register new user from specific country using generated Faker information","","Sun Feb 22 20:21:38 UTC 2026","passed","Sun Feb 22 20:21:44 UTC 2026","Tests for registering new users - different approaches","ui/registerUser.spec.ts","",""
